order_index,run_id,architecture,scenario,replicate,pair_id,source_eligibility,quality_comparison_eligible,pair_exclusion_reasons,verified_success,terminal_status,error_type,termination_reason,total_tool_calls,total_turns,invalid_action_count,policy_rejection_count,tool_error_count,repeated_action_count,tool_calls_after_first_pass,elapsed_seconds,provider_latency_seconds,prompt_tokens,completion_tokens,total_tokens,criterion_protected_inputs,criterion_schema,criterion_selected_vendor,criterion_final_price,criterion_rejections,criterion_evidence
1,react__clean__01,react,clean,1,clean__01,eligible_agent_result,true,,false,failure,quality_failure,budget_exhausted,16,16,0,0,1,12,0,14.500609199982136,14.487286600051448,22160,496,22656,true,false,true,true,true,false
2,controlled__clean__01,controlled,clean,1,clean__01,eligible_agent_result,true,,true,success,none,verifier_pass,7,7,0,0,0,0,0,8.13610530004371,8.123236599843949,5847,568,6415,true,true,true,true,true,true
3,controlled__clean__02,controlled,clean,2,clean__02,eligible_agent_result,true,,true,success,none,verifier_pass,7,7,0,0,0,0,0,7.938825800083578,7.926535899983719,5847,568,6415,true,true,true,true,true,true
4,react__clean__02,react,clean,2,clean__02,eligible_agent_result,true,,false,failure,quality_failure,budget_exhausted,16,16,0,0,1,12,0,15.178984300000593,15.165890799835324,22160,496,22656,true,false,true,true,true,false
5,react__clean__03,react,clean,3,clean__03,eligible_agent_result,true,,false,failure,quality_failure,budget_exhausted,16,16,0,0,1,12,0,15.767629500012845,15.75326419970952,22160,496,22656,true,false,true,true,true,false
6,controlled__clean__03,controlled,clean,3,clean__03,eligible_agent_result,true,,true,success,none,verifier_pass,7,7,0,0,0,0,0,9.23481970001012,9.221755800070241,5847,568,6415,true,true,true,true,true,true
7,react__precondition__01,react,precondition,1,precondition__01,eligible_agent_result,true,,false,failure,quality_failure,budget_exhausted,16,16,0,0,11,7,0,13.272334899986163,13.260369600378908,20223,492,20715,true,false,true,true,true,false
8,controlled__precondition__01,controlled,precondition,1,precondition__01,eligible_agent_result,true,,true,success,none,verifier_pass,9,9,0,0,1,0,0,10.623805799987167,10.607695200131275,7783,578,8361,true,true,true,true,true,true
9,controlled__precondition__02,controlled,precondition,2,precondition__02,eligible_agent_result,true,,true,success,none,verifier_pass,9,9,0,0,1,0,0,10.78083299996797,10.765460000024177,7783,578,8361,true,true,true,true,true,true
10,react__precondition__02,react,precondition,2,precondition__02,eligible_agent_result,true,,false,failure,quality_failure,budget_exhausted,16,16,0,0,11,7,0,16.699206999968737,16.688395600183867,20223,492,20715,true,false,true,true,true,false
11,react__precondition__03,react,precondition,3,precondition__03,eligible_agent_result,true,,false,failure,quality_failure,budget_exhausted,16,16,0,0,11,7,0,15.003881099983118,14.992560899932869,20223,492,20715,true,false,true,true,true,false
12,controlled__precondition__03,controlled,precondition,3,precondition__03,eligible_agent_result,true,,true,success,none,verifier_pass,9,9,0,0,1,0,0,9.78876499994658,9.774955599801615,7783,578,8361,true,true,true,true,true,true
13,react__transient_5xx__01,react,transient_5xx,1,transient_5xx__01,eligible_agent_result,true,,false,failure,quality_failure,budget_exhausted,16,16,0,0,5,10,0,14.866051899967715,14.854824900161475,19464,378,19842,true,false,true,true,true,false
14,controlled__transient_5xx__01,controlled,transient_5xx,1,transient_5xx__01,eligible_agent_result,true,,true,success,none,verifier_pass,8,8,0,0,1,1,0,9.597343500005081,9.581880799960345,6760,545,7305,true,true,true,true,true,true
15,controlled__transient_5xx__02,controlled,transient_5xx,2,transient_5xx__02,eligible_agent_result,true,,true,success,none,verifier_pass,8,8,0,0,1,1,0,8.779677400016226,8.76713549986016,6760,545,7305,true,true,true,true,true,true
16,react__transient_5xx__02,react,transient_5xx,2,transient_5xx__02,eligible_agent_result,true,,false,failure,quality_failure,budget_exhausted,16,16,0,0,5,10,0,15.110917199985124,15.099379000253975,19464,378,19842,true,false,true,true,true,false
17,react__transient_5xx__03,react,transient_5xx,3,transient_5xx__03,eligible_agent_result,true,,false,failure,quality_failure,budget_exhausted,16,16,0,0,5,10,0,14.495317799970508,14.48430659994483,19464,378,19842,true,false,true,true,true,false
18,controlled__transient_5xx__03,controlled,transient_5xx,3,transient_5xx__03,eligible_agent_result,true,,true,success,none,verifier_pass,8,8,0,0,1,1,0,9.827015899936669,9.81447410013061,6760,545,7305,true,true,true,true,true,true
19,react__rate_limit__01,react,rate_limit,1,rate_limit__01,eligible_agent_result,true,,false,failure,quality_failure,budget_exhausted,16,16,0,0,5,3,0,14.46544509998057,14.454952599713579,20086,448,20534,true,false,true,true,true,false
20,controlled__rate_limit__01,controlled,rate_limit,1,rate_limit__01,eligible_agent_result,true,,true,success,none,verifier_pass,9,9,0,0,1,1,0,9.720729000051506,9.706348300212994,7748,572,8320,true,true,true,true,true,true
21,controlled__rate_limit__02,controlled,rate_limit,2,rate_limit__02,eligible_agent_result,true,,true,success,none,verifier_pass,9,9,0,0,1,1,0,9.071982300025411,9.059504400240257,7748,572,8320,true,true,true,true,true,true
22,react__rate_limit__02,react,rate_limit,2,rate_limit__02,eligible_agent_result,true,,false,failure,quality_failure,budget_exhausted,16,16,0,0,5,3,0,14.16952290001791,14.15897629992105,20086,448,20534,true,false,true,true,true,false
23,react__rate_limit__03,react,rate_limit,3,rate_limit__03,eligible_agent_result,true,,false,failure,quality_failure,budget_exhausted,16,16,0,0,5,3,0,13.393627099925652,13.382257500081323,20086,448,20534,true,false,true,true,true,false
24,controlled__rate_limit__03,controlled,rate_limit,3,rate_limit__03,eligible_agent_result,true,,true,success,none,verifier_pass,9,9,0,0,1,1,0,8.985329400049523,8.971710499958135,7748,572,8320,true,true,true,true,true,true
25,react__post_success__01,react,post_success,1,post_success__01,eligible_agent_result,true,,false,failure,quality_failure,budget_exhausted,16,16,0,0,1,11,0,13.544160300050862,13.533041399903595,20046,369,20415,true,false,true,true,true,false
26,controlled__post_success__01,controlled,post_success,1,post_success__01,eligible_agent_result,true,,true,success,none,verifier_pass,7,7,0,0,0,0,0,8.348589800065383,8.336871199891903,5871,568,6439,true,true,true,true,true,true
27,controlled__post_success__02,controlled,post_success,2,post_success__02,eligible_agent_result,true,,true,success,none,verifier_pass,7,7,0,0,0,0,0,8.121081299963407,8.10958709998522,5871,568,6439,true,true,true,true,true,true
28,react__post_success__02,react,post_success,2,post_success__02,eligible_agent_result,true,,false,failure,quality_failure,budget_exhausted,16,16,0,0,1,11,0,12.569724199944176,12.55960270005744,20046,369,20415,true,false,true,true,true,false
29,react__post_success__03,react,post_success,3,post_success__03,eligible_agent_result,true,,false,failure,quality_failure,budget_exhausted,16,16,0,0,1,11,0,15.621788400108926,15.611511799739674,20046,369,20415,true,false,true,true,true,false
30,controlled__post_success__03,controlled,post_success,3,post_success__03,eligible_agent_result,true,,true,success,none,verifier_pass,7,7,0,0,0,0,0,8.830864200019278,8.818274799967185,5871,568,6439,true,true,true,true,true,true
